id;En;Es;De
Adv_fx_03;If you catch foxy in a duct with the heater, he will run to the nearest exit. With a good timing, you can make him go anywhere you want!;;
Adv_fx_04;Foxy can enter the office through the doors, but he will rather enter by the ducts;;
Adv_fx_05;If you see foxy, flash him with the flashlight for a bit to make him leave, although he wont exit the duct. That’s the heater’s job!;;
;;;
;;;
Minigame_blackbars;;;
;;;
bartxt_enter;GO TO THE OFFICE;;
bartxt_exit;EXIT THE BUILDING;;
bartxt_compu;GO TO THE COMPUTER;;
bartxt_exe;GO TO HELL IDK;;
;;;
;;;
Minigame intro;;;
;;;
Night1;Monday;Lunes;
Night2;Tuesday;Martes;
Night3;Wednesday;Miércoles;
Night4;Thursday;Jueves;
Night5;Friday;Viernes;
Night6;Saturday;Sábado;
Night0;This is a bug. Pls report;Esto es un bug. Reportenlo porfa;
;;;
;;;
Text_Minigame;;;
;;;
;;;
Rand_obj_01;This is a completely random message;Esto es un mensaje completamente aleatorio;
Rand_obj_02;For some reason, it fills you with [color=yellow]determination ;Por algún motivo, te llena de [color=yellow]determinación;
;;;
Chair_01;No need to sit down;;
;;;
Exit_m_01;You really need that paycheck[unskipable];;
Exit_m6_01;You have come so far. Why throw it all away?;;
Exit_m6_02;[color=red]It’s not like [abs_shake]YOU [/abs_shake]care at all…;;
Exit_true_party_n6_01;[color=red][abs_shake]What the fuck do you think you are doing right now?[unskipable];;
;;;
Magic_chair_01;This is the [abs_rainbow]MAGIC TEXT CHAIR [/abs_rainbow]of [abs_shake][color=red]eternal doom [/color][/abs_shake]and [abs_wave]absolute boredom [/abs_wave]forever;;
Magic_chair_02;Prepare to [abs_tornado]SUFFER THE CONSEQUENCES [/abs_tornado]of your [abs_fade]puny little life [/abs_fade]of yours;;
Magic_chair_03;I am [abs_rainbow]so excited [/abs_rainbow]to meet your [abs_rainbow]MOTHER [/abs_rainbow]in law;;
Magic_chair_04;You know what?[slow][unskipable];;
Magic_chair_05;[color=red][abs_shake]Fuck you[unskipable][skip];;
Magic_chair_06;I mean, [abs_tornado][abs_rainbow]BLESS YOU<3;;
;;;
Round_table_01;This is a round table;;
;;;
Hex_table_01;This is a hexadecagonal table;;
;;;
Best_table_01;This is definitely the best table in the whole place;;
Best_table_02;It has a perfect geometry an positioning to see the show the way the artist intended. No other seat can even compare to its glory;;
Best_table_03;Sadly, it looks taken;;
Best_table_04;Taken;;
Best_table_05;Oh wait, now it is still taken!;;
Best_table_06;Taken;;
;;;
Long_table_01;This is a long table;;
;;;
Short_table_01;This is actually a short table;;
Short_table_02;No is not. Is a long table;;
Short_table_03;It is a ever so slightly shorter table;;
;;;
Scenario_01;By looking at this, memories start flowing back at you;;
Scenario_02;Not happy ones, not sad ones. Just memories...;;
Scenario_03;Memories that you might wanted to leave behind, but somehow;;
Scenario_04;[abs_shake]they always find a way back[silent][slow][unskipable];;
Scenario_05;[color=red]What are you trying to prove here?;;
;;;
Pick_key_01;You picked up the key;;
Pick_key_02;Good thing you deactivated the cameras first... ;;
Pick_key_03;[color=yellow]Key[/color] was added to your [color=yellow]Key Items;;
;;;
Nothing_01;What are you looking for?;;
;;;
No_key_01;There is nothing here;;
;;;
Safe_too_soon_01;It doesn’t seem you know what you are doing;;
;;;
Safe_not_know_01;Looks like you don’t know the safe code. What a shame;;
Safe_not_know_02;Wrong;;
;;;
Safe_know_01;You unlock the safe;;
;;;
Safe_give_up_01;Given the sheer number of possible combinations, you decided to give up;Ante la magnitud de posibles combinaciones, decides tirar la toalla;
Safe_give_up_02;[abs_tornado] Keep gambling;;
;;;
Loot_safe_01;You begin register the safe;;
Loot_safe_02;[color=red]This is why we came here, don’t you think?;;
Loot_safe_03;You found some money, an unloaded gun, some ungunned ammo... ;;
Loot_safe_04;You also found some classified document in a file;;
Loot_safe_05;You start reading from the start: “Today’s date is eleven of septem[skip][unskipable];;
Loot_safe_06;[color=yellow]Clasified document[/color] was added to your [color=yellow]Key Items[unskipable];;
;;;
Keep_looting_01;Are you looking for something else?;;
Keep_looting_02;You find something else. It is a usb with a note that reads “key”;;
Keep_looting_03;You decide to take it as well;;
Keep_looting_04;[color=yellow]USB-key A[/color] was added to your [color=yellow]Key Items;;
;;;
Empty_safe_01;There is nothing more of use in here;;
;;;
Chickend_safe_01;It looks vandalized. Nothing has survived;;
;;;
Check_computer_01;It looks like some sort of computer-like shaped objet;;
Check_computer_02;You tried to start it, but it doesn’t ask you for a password. It demands two “UBS authentication keys”;;
Check_computer_03;You don’t have any “key”;;
;;;
Check_computer_dm_01;You insert the “UBS authentication key” you found on that weird machine;;
Check_computer_dm_02;It is still not enough, because you need two;;
Check_computer_dm_03;[color=red]One remaining;;
;;;
Check_computer_sf_01;You insert the “UBS authentication key” you found on the safe;;
Check_computer_sf_02;It is still not enough, because you need two;;
Check_computer_sf_03;[color=red]One remaining;;
;;;
Start_computer_01;You insert both “keys”. Its super effective;;
Start_computer_02;There is only one program, but you aren’t able to execute it;;
;;;
Start_download_01;You decide to compile the program into an UBS of your own;;
Start_download_02;It looks like it may take a few hours, as well as some energy;;
Start_download_03;You resume the compilation;;
;;;
Start_download_late_01;The compilation of the program would take a couple of hours;;
Start_download_late_02;But it’s too late for that;;
Start_download_late_03;It’s too late for that;;
;;;
Stop_download_01;You decide to stop the compilation;;
Stop_download_02;It’s not worth the hassle;;
Stop_download_03;You stop the compilation;;
;;;
Corrupted_computer_01;“The download has been abruptly stopped. Please click here to continue”;;
Corrupted_computer_02;You decide not to click, it is too late for that;;
Corrupted_computer_03;You think to yourself that you ought to be more careful with this kind of stuff;;
;;;
Get_program_01;“The download is completed. Click here to review the downloading out of five stars!”;;
Get_program_02;You got the usb;;
;;;
Done_computer_01;There is nothing more on this computer;;
;;;
corkboard_day1_01;There is a long paper with some behavior rules written on it;;
corkboard_day1_02;“Please do not eat a child’s pizza in front of him”;;
corkboard_day1_03;To its left, the recepie for a basic pepperoni pizza;;
corkboard_day1_04;It looks like you are up to date;;
;;;
corkboard_day2_01;The rules paper looks bandaliced. It was never written in the rules not to destroy the rules.;;
corkboard_day2_02;With the new anarchy estableced, people are now free to eat every child’s pizza;;
corkboard_day2_03;Somebody sticked a sticker in front of the pepperoni pizza recepie;;
corkboard_day2_04;Now you may never know how it ends;;
corkboard_day2_05;It looks like you are up to date;;
;;;
corkboard_day3_01;There is a pepperoni gruesomely impaled into the wall;;
corkboard_day3_02;The sticker is no longer holding any secrets;;
corkboard_day3_03;The ending to the recepie, however, disappoints you;;
corkboard_day3_04;You feel like the author lost the plot when he started implementing time travel;;
corkboard_day3_05;Don’t you get tired of reading this?;;
corkboard_day3_06;It looks like you are up to date;;
;;;
corkboard_day4_01;The sticker has fallen. Just like it deserved;;
corkboard_day4_02;There is a new piece of paper with big mad words written on it;;
corkboard_day4_03;“Do NOT smoke weed inside the kitchen”;;
corkboard_day4_04;You sigh in relief, as you long left the weed for something much worse;;
corkboard_day4_05;It looks like you are up to date;;
;;;
not_sign_in_01;If you want to work extra hours tomorrow Saturday, please sign in;;
not_sign_in_02;There is a list with 4 names on in, with 16 empty cells;;
not_sign_in_03;You decide not to sign in;;
not_sign_in_04;[color=red]You [abs_shake]coward[/abs_shake].;;
;;;
sign_in_no_pen_01;You decided to sign in, but you dont have a [color=yellow]Pen;;
;;;
sign_in_01;You decide to sign in;;
;;;
signed_in_01;You don’t have a rubber;;
;;;
corkboard_day6_01;You went to sign in, but it looks like somebody else already took your place;;
corkboard_day6_02;Oh wait, it was you!;;
corkboard_day6_03;you...;;
corkboard_day6_04;. . .;;
;;;
Office_door_locked_01;It’s a locked door;;
Office_door_locked_02;You don’t seem to have the key nor the strength to break in;;
Office_door_locked_03;[color=red]But you have the urge to do so;;
Office_door_locked_04;Still locked;;
;;;
Office_door_unlocked_01;It is an open door;;
;;;
Office_door_unlocking_01;You use the key;;
;;;
activate_dm_machine_01;(Dev here! This is not finished. Plis don’t touch, WILL break things...) It looks like an old arcade machine. It is unplugged.;;
activate_dm_machine_02;“Warning! If you plug this machine, you may get really boring really lore-filled side quests”;;
activate_dm_machine_03;“Are you sure about what you are doing?”;;
activate_dm_machine_04;You plugged in the machine;;
;;;
;;;
;;;
claim_dm_usb_01;You open the case. Inside lays a ubs.;;
claim_dm_usb_02;[color=yellow]USB-key B[/color] was added to your [color=yellow]Key Items;;
claim_dm_usb_03;[color=red]I hope you are [abs_shake]happy;;
;;;
;;;
b_normal_01;It’s bonnie;;
b_just_kill_01;. . .;;
b_kill_01;It’s him;;
b_saved_01;It’s just the bonnie suit;;
;;;
c_normal_01;It’s chica;;
c_just_kill_01;Are you proud?;;
c_kill_01;It’s her;;
c_saved_01;It’s just the chica suit;;
;;;
f_normal_01;It’s freddy;;
f_just_kill_01;Is this fun?;;
f_kill_01;It’s her;;
f_saved_01;It’s the freddy suit;;
;;;
x_normal_01;It’s foxy;;
x_just_kill_01;It is done.;;
x_kill_01;[color=red]It’s him;;
x_saved_01;It’s our favorite suit;;
;;;
screwdriver_01;You found a screwdriver;;
screwdriver_02;[color=yellow]Screwdriver[/color] was added to your [color=yellow]Key Items;;
;;;
batteries_01;You found some AA batteries lying arround;;
batteries_02;[color=yellow]Batteries[/color] was added to your [color=blue]Items;;
;;;
water_bottle_01;You found a water bottle;;
water_bottle_02;It is good to stay hydrated;;
water_bottle_03;[color=yellow]Water bottle[/color] was added to your [color=blue]Items;;
;;;
toy_01;You found a squeeky toy;;
toy_02;It makes a loud noise when pressed;;
toy_03;It might be useful somewhere;;
toy_04;[color=yellow]Squeeky toy[/color] was added to your [color=blue]Items;;
;;;
put_toy_01;You putted down the toy;;
;;;
get_pen_01;You found a pen on the table;;
get_pen_02;[color=red][abs_shake]HE[/abs_shake] surely won’t mind;;
get_pen_03;[color=yellow]Pen[/color] was added to your [color=yellow]Key Items;;
;;;
spotlight_01;;;
